RowId,AVERAGE_SPEED_DIFF,AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,AVERAGE_RAIN,Hour,DayOfWeek,Month,Is_Weekend,Is_Rush_Hour
1587,None_Existent,37.7,1.3,64.5,DARK,15.0,1017.0,93.0,3.0,céu pouco nublado,sem chuva,23,4,6,0,0
1588,Low,46.6,15.9,80.9,LIGHT,14.0,1016.0,100.0,9.0,sem observação,sem chuva,7,6,9,1,1
1589,Medium,39.8,29.1,89.6,LIGHT,23.0,1015.0,47.0,4.0,céu claro,sem chuva,19,1,8,0,1
1590,None_Existent,37.6,0.0,66.0,DARK,16.0,1016.0,100.0,1.0,nuvens quebradas,sem chuva,5,5,6,1,0
1591,Low,39.8,26.9,90.6,LIGHT,23.0,1019.0,69.0,5.0,nuvens dispersas,sem chuva,13,0,7,0,0
1592,Medium,38.3,22.3,76.7,LIGHT,15.0,1020.0,67.0,2.0,céu claro,sem chuva,15,5,1,1,0
1593,Medium,44.6,4.1,87.1,DARK,3.0,1021.0,93.0,5.0,céu claro,sem chuva,7,2,2,0,1
1594,None_Existent,46.2,2.4,67.5,DARK,18.0,1017.0,100.0,3.0,nuvens quebradas,sem chuva,23,0,9,0,0
1595,Low,33.0,13.4,71.5,DARK,18.0,1014.0,59.0,2.0,sem observação,sem chuva,20,5,5,1,0
1596,Medium,33.4,20.9,98.4,LIGHT,19.0,1029.0,38.0,2.0,céu claro,sem chuva,14,0,2,0,0
1597,Very_High,45.8,117.0,74.5,LIGHT,15.0,1017.0,100.0,1.0,sem observação,sem chuva,8,3,9,0,1
1598,Low,45.7,4.9,74.9,DARK,17.0,1014.0,82.0,2.0,céu claro,sem chuva,20,6,8,1,0
1599,Medium,32.1,20.8,82.6,LIGHT,16.0,1016.0,82.0,4.0,sem observação,chuva fraca,12,1,5,0,0
1600,Very_High,44.8,57.5,81.2,LIGHT,19.0,1014.0,100.0,4.0,sem observação,sem chuva,8,3,7,0,1
1601,Very_High,42.8,128.3,81.3,LIGHT,23.0,1012.0,82.0,2.0,sem observação,sem chuva,18,2,7,0,1
1602,Very_High,43.7,89.0,79.4,LIGHT,27.0,1014.0,54.0,3.0,sem observação,sem chuva,17,4,7,0,1
1603,Low,43.5,1.1,86.5,DARK,15.0,1020.0,55.0,2.0,céu claro,sem chuva,0,1,10,0,0
1604,Medium,34.7,23.1,97.5,LIGHT,10.0,1028.0,100.0,3.0,sem observação,sem chuva,10,4,3,0,0
1605,None_Existent,39.5,5.4,86.6,DARK,19.0,1014.0,93.0,2.0,sem observação,sem chuva,23,1,7,0,0
1606,Very_High,41.9,75.3,71.5,LIGHT,14.0,1013.0,59.0,3.0,céu limpo,sem chuva,9,0,4,0,1
1607,Very_High,47.1,145.2,62.4,LIGHT,12.0,1014.0,87.0,1.0,céu pouco nublado,sem chuva,8,4,6,0,1
1608,Low,42.2,4.5,71.8,DARK,8.0,1020.0,93.0,1.0,algumas nuvens,sem chuva,20,1,1,0,0
1609,Medium,36.8,52.6,92.0,LIGHT,24.0,1015.0,54.0,4.0,céu claro,sem chuva,15,2,8,0,0
1610,None_Existent,38.5,3.1,72.1,LIGHT,18.0,1017.0,93.0,2.0,nuvens quebradas,sem chuva,9,5,6,1,1
1611,High,40.0,40.6,87.9,LIGHT,18.0,1017.0,88.0,4.0,céu claro,sem chuva,17,1,10,0,1
1612,None_Existent,44.5,0.0,87.0,DARK,15.0,1014.0,93.0,0.0,céu claro,sem chuva,2,0,8,0,0
1613,Medium,48.6,2.9,68.2,LIGHT,13.0,1017.0,82.0,3.0,sem observação,sem chuva,6,1,6,0,0
1614,Low,38.8,4.5,77.4,LIGHT,16.0,1018.0,100.0,1.0,sem observação,sem chuva,8,3,8,0,1
1615,High,31.6,113.6,98.7,LIGHT,22.0,1026.0,26.0,6.0,céu claro,sem chuva,16,4,2,0,0
1616,High,42.7,47.0,79.6,LIGHT,13.0,1008.0,82.0,11.0,sem observação,chuva moderada,16,5,11,1,0
1617,None_Existent,37.4,6.5,93.0,DARK,9.0,1021.0,76.0,3.0,nuvens dispersas,sem chuva,0,6,2,1,0
1618,None_Existent,39.0,4.5,95.1,LIGHT,19.0,1016.0,77.0,1.0,nuvens quebradas,sem chuva,10,6,7,1,0
1619,High,40.6,102.5,71.3,LIGHT,20.0,1015.0,46.0,3.0,céu pouco nublado,sem chuva,17,4,4,0,1
1620,None_Existent,44.5,1.7,84.3,LIGHT,21.0,1016.0,69.0,3.0,céu claro,sem chuva,6,5,8,1,0
1621,Low,39.9,20.1,82.2,LIGHT,23.0,1016.0,88.0,2.0,sem observação,sem chuva,13,1,9,0,0
1622,Low,37.1,9.2,90.7,DARK,21.0,1019.0,88.0,2.0,nuvens quebrados,sem chuva,20,0,7,0,0
1623,Medium,37.6,27.3,89.9,LIGHT,17.0,1015.0,100.0,0.0,sem observação,sem chuva,9,2,8,0,1
1624,Very_High,44.7,77.1,87.8,LOW_LIGHT,12.0,1016.0,51.0,4.0,céu claro,sem chuva,7,0,10,0,1
1625,Low,35.7,11.3,97.5,LIGHT,12.0,1029.0,87.0,0.0,sem observação,sem chuva,10,5,3,1,0
1626,High,38.4,48.5,86.2,LIGHT,24.0,1017.0,78.0,3.0,sem observação,sem chuva,14,0,9,0,0
1627,Low,33.4,15.1,95.1,LIGHT,15.0,1023.0,77.0,9.0,nuvens quebradas,sem chuva,12,6,3,1,0
1628,None_Existent,43.5,3.5,88.8,DARK,14.0,1011.0,93.0,1.0,nuvens quebrados,sem chuva,3,3,10,0,0
1629,High,43.0,47.1,82.4,LOW_LIGHT,11.0,1019.0,62.0,3.0,céu claro,sem chuva,18,1,2,0,1
1630,Medium,39.8,48.2,82.2,DARK,17.0,1024.0,48.0,1.0,céu claro,sem chuva,17,0,12,0,1
1631,Medium,34.6,23.1,89.4,LIGHT,14.0,1010.0,82.0,9.0,sem observação,chuva fraca,13,5,11,1,0
1632,Medium,38.2,18.1,84.7,LIGHT,16.0,1023.0,77.0,2.0,céu claro,sem chuva,16,1,11,0,0
1633,None_Existent,42.5,4.2,77.6,DARK,17.0,1015.0,100.0,3.0,sem observação,sem chuva,21,4,7,0,0
1634,Medium,40.0,36.4,84.2,LIGHT,24.0,1021.0,53.0,3.0,sem observação,sem chuva,10,5,9,1,0
1635,Medium,35.2,17.1,81.1,LIGHT,15.0,1027.0,77.0,5.0,céu claro,sem chuva,12,2,12,0,0
1636,Medium,33.8,28.9,103.9,LIGHT,13.0,1030.0,54.0,2.0,céu claro,sem chuva,15,0,2,0,0
1637,None_Existent,44.5,0.0,85.0,DARK,18.0,1014.0,63.0,5.0,céu claro,sem chuva,6,5,10,1,0
1638,None_Existent,42.4,0.0,86.1,DARK,21.0,1016.0,28.0,3.0,céu claro,sem chuva,5,6,8,1,0
1639,Medium,37.1,47.9,86.8,LIGHT,22.0,1018.0,69.0,3.0,céu pouco nublado,sem chuva,11,0,9,0,0
1640,High,37.1,70.8,90.7,LIGHT,21.0,1019.0,60.0,3.0,nuvens quebrados,sem chuva,16,6,7,1,0
1641,High,38.6,85.2,87.5,LIGHT,19.0,1016.0,88.0,2.0,nuvens quebradas,sem chuva,16,3,9,0,0
1642,None_Existent,38.4,0.0,74.1,DARK,9.0,1012.0,81.0,1.0,nuvens dispersas,sem chuva,2,4,11,0,0
1643,Medium,37.5,30.9,84.3,LIGHT,17.0,1019.0,67.0,5.0,céu claro,sem chuva,11,2,11,0,0
1644,High,42.8,64.7,81.9,LIGHT,28.0,1017.0,57.0,2.0,sem observação,sem chuva,17,2,9,0,1
1645,None_Existent,37.9,0.9,64.5,DARK,13.0,1021.0,87.0,2.0,sem observação,sem chuva,23,6,6,1,0
1646,Medium,40.2,15.0,81.1,LIGHT,15.0,1032.0,71.0,2.0,céu claro,sem chuva,13,3,2,0,0
1647,Medium,35.6,19.8,76.9,LIGHT,15.0,1022.0,72.0,3.0,sem observação,sem chuva,10,5,6,1,0
1648,High,37.4,85.5,89.3,DARK,20.0,1007.0,42.0,3.0,céu claro,sem chuva,18,1,10,0,1
1649,Low,35.4,3.2,90.1,DARK,19.0,1016.0,77.0,6.0,céu claro,sem chuva,20,3,8,0,0
1650,High,43.1,28.7,69.2,DARK,16.0,1020.0,59.0,3.0,sem observação,sem chuva,3,2,5,0,0
1651,Very_High,40.8,135.6,83.0,LIGHT,18.0,1016.0,93.0,1.0,nuvens quebradas,sem chuva,18,3,9,0,1
1652,None_Existent,38.0,0.0,85.2,DARK,16.0,1018.0,100.0,2.0,céu claro,sem chuva,22,3,9,0,0
1653,None_Existent,46.3,0.0,82.7,DARK,1.0,1031.0,86.0,0.0,céu claro,sem chuva,4,0,2,0,0
1654,Low,40.5,17.1,81.2,LIGHT,15.0,1016.0,100.0,0.0,sem observação,sem chuva,8,6,8,1,1
1655,None_Existent,40.3,6.8,86.9,DARK,9.0,1023.0,66.0,6.0,algumas nuvens,sem chuva,20,5,2,1,0
1656,Medium,33.5,23.5,84.1,LIGHT,13.0,1025.0,58.0,4.0,céu claro,sem chuva,14,0,1,0,0
1657,None_Existent,37.7,3.4,64.2,DARK,15.0,1017.0,93.0,2.0,céu pouco nublado,sem chuva,0,3,6,0,0
1658,Medium,41.7,45.1,87.2,LIGHT,20.0,1017.0,88.0,2.0,nuvens quebrados,sem chuva,18,6,8,1,1
1659,None_Existent,41.5,2.1,74.9,DARK,13.0,1022.0,100.0,0.0,sem observação,sem chuva,5,1,12,0,0
1660,None_Existent,43.8,0.0,86.3,DARK,14.0,1017.0,100.0,0.0,sem observação,sem chuva,4,1,8,0,0
1661,None_Existent,38.5,3.1,55.7,LIGHT,14.0,1014.0,100.0,3.0,sem observação,sem chuva,8,6,9,1,1
1662,Medium,39.4,36.8,90.0,LIGHT,20.0,1017.0,64.0,3.0,céu claro,sem chuva,14,1,8,0,0
1663,Low,42.7,11.8,92.7,DARK,12.0,1020.0,100.0,6.0,sem observação,sem chuva,5,1,8,0,0
1664,Medium,34.6,26.2,97.8,LIGHT,13.0,1027.0,82.0,1.0,sem observação,sem chuva,12,4,3,0,0
1665,None_Existent,40.4,0.0,86.3,DARK,18.0,1015.0,100.0,0.0,nublado,sem chuva,4,0,7,0,0
1666,Medium,34.1,28.6,80.9,LIGHT,22.0,1015.0,82.0,3.0,sem observação,sem chuva,12,2,5,0,0
1667,None_Existent,42.0,0.0,75.5,LOW_LIGHT,17.0,1000.0,67.0,5.0,céu claro,sem chuva,7,6,11,1,1
1668,Medium,34.7,26.9,92.4,DARK,9.0,1023.0,70.0,6.0,algumas nuvens,sem chuva,19,5,2,1,1
1669,High,32.7,49.2,99.7,LIGHT,12.0,1025.0,87.0,1.0,algumas nuvens,sem chuva,17,2,2,0,1
1670,None_Existent,39.4,2.6,71.3,LIGHT,12.0,1013.0,87.0,6.0,sem observação,chuva fraca,9,5,11,1,1
1671,Medium,45.4,12.5,77.5,DARK,16.0,1011.0,93.0,5.0,tempo nublado,sem chuva,20,5,11,1,0
1672,Very_High,43.5,85.0,70.2,LIGHT,21.0,1017.0,64.0,8.0,sem observação,sem chuva,18,4,5,0,1
1673,Medium,39.2,32.6,92.1,LIGHT,21.0,1022.0,42.0,4.0,céu claro,sem chuva,17,3,2,0,1
1674,None_Existent,41.6,0.0,74.9,DARK,15.0,1011.0,100.0,7.0,sem observação,chuva moderada,3,2,5,0,0
1675,Low,34.3,7.2,87.2,LIGHT,18.0,1024.0,73.0,1.0,sem observação,sem chuva,10,6,9,1,0
1676,High,37.3,145.9,85.9,LIGHT,21.0,1015.0,82.0,4.0,nuvens quebradas,sem chuva,10,3,7,0,0
1677,None_Existent,41.4,0.0,85.6,DARK,13.0,1004.0,100.0,6.0,sem observação,chuva moderada,5,3,1,0,0
1678,Medium,41.4,42.1,76.3,LIGHT,20.0,1011.0,55.0,3.0,céu pouco nublado,sem chuva,15,6,3,1,0
1679,Medium,35.8,22.8,88.4,LIGHT,29.0,1019.0,28.0,3.0,sem observação,sem chuva,12,1,9,0,0
1680,Medium,49.7,4.9,76.0,DARK,9.0,1017.0,100.0,2.0,nuvens quebrados,sem chuva,7,0,2,0,1
1681,Low,36.6,14.2,70.8,LIGHT,19.0,1020.0,88.0,4.0,nuvens dispersas,sem chuva,19,6,6,1,1
1682,Low,35.8,9.4,84.7,LIGHT,14.0,1019.0,82.0,3.0,nuvens quebrados,sem chuva,14,3,11,0,0
1683,Low,40.9,12.1,90.3,DARK,21.0,1018.0,77.0,7.0,nuvens quebrados,sem chuva,20,4,10,0,0
1684,Medium,34.2,23.1,87.8,LIGHT,13.0,1003.0,82.0,5.0,nuvens dispersas,sem chuva,11,2,10,0,0
1685,Low,40.1,26.0,95.5,DARK,11.0,1021.0,93.0,2.0,céu pouco nublado,sem chuva,22,2,4,0,0
1686,Very_High,47.0,71.7,68.8,LIGHT,9.0,1013.0,93.0,1.0,nuvens quebrados,sem chuva,8,4,11,0,1
1687,High,40.4,51.1,82.7,LIGHT,17.0,1015.0,93.0,3.0,sem observação,sem chuva,18,0,9,0,1
1688,Low,40.4,5.4,68.1,DARK,16.0,1014.0,88.0,3.0,céu pouco nublado,sem chuva,4,2,6,0,0
1689,High,43.0,38.7,74.3,DARK,13.0,1017.0,93.0,7.0,sem observação,chuva moderada,18,2,1,0,1
1690,High,39.6,96.4,88.7,LIGHT,19.0,1017.0,77.0,3.0,nuvens dispersas,sem chuva,11,3,8,0,0
1691,None_Existent,40.8,3.7,86.8,DARK,13.0,1003.0,100.0,4.0,sem observação,chuva fraca,19,6,11,1,1
1692,None_Existent,46.7,5.3,76.7,DARK,14.0,1016.0,100.0,5.0,sem observação,sem chuva,4,6,8,1,0
1693,Medium,31.5,40.8,98.3,LIGHT,17.0,1027.0,77.0,3.0,céu pouco nublado,sem chuva,16,5,3,1,0
1694,High,33.4,53.6,91.6,LIGHT,20.0,1017.0,83.0,2.0,céu pouco nublado,sem chuva,10,1,7,0,0
1695,None_Existent,42.5,0.0,73.9,DARK,11.0,1023.0,93.0,2.0,nuvens quebrados,sem chuva,5,2,12,0,0
1696,Medium,40.4,21.9,89.8,LIGHT,16.0,1018.0,87.0,2.0,nuvens quebrados,sem chuva,10,2,10,0,0
1697,None_Existent,42.2,3.3,87.7,DARK,15.0,1017.0,93.0,0.0,céu claro,sem chuva,0,2,8,0,0
1698,Medium,38.2,19.6,88.9,LIGHT,20.0,1018.0,53.0,1.0,céu claro,sem chuva,13,3,10,0,0
1699,None_Existent,41.3,2.0,75.6,LIGHT,7.0,1032.0,100.0,2.0,algumas nuvens,sem chuva,8,6,12,1,1
1700,Low,43.2,5.0,88.2,LIGHT,19.0,1019.0,93.0,2.0,nuvens quebrados,sem chuva,7,1,7,0,1
1701,Medium,33.3,48.2,76.3,LIGHT,19.0,1017.0,88.0,3.0,nuvens dispersas,sem chuva,14,3,6,0,0
1702,None_Existent,41.9,0.0,86.8,DARK,17.0,1022.0,88.0,1.0,céu claro,sem chuva,21,6,9,1,0
1703,High,39.4,31.8,87.3,LIGHT,12.0,1009.0,100.0,4.0,sem observação,chuva moderada,16,2,1,0,0
1704,High,39.4,91.7,90.0,LIGHT,20.0,1016.0,73.0,7.0,algumas nuvens,sem chuva,16,1,8,0,0
1705,Low,42.0,5.5,65.5,DARK,7.0,1024.0,93.0,3.0,céu claro,sem chuva,1,1,11,0,0
1706,Low,37.8,6.3,90.4,DARK,10.0,1023.0,76.0,2.0,céu claro,sem chuva,20,2,2,0,0
1707,None_Existent,44.9,1.7,79.5,DARK,11.0,1019.0,93.0,3.0,sem observação,sem chuva,5,6,9,1,0
1708,None_Existent,33.3,1.2,89.0,DARK,10.0,1028.0,58.0,4.0,céu claro,sem chuva,3,0,2,0,0
1709,Medium,34.5,35.9,78.5,LIGHT,27.0,1020.0,39.0,5.0,sem observação,sem chuva,16,2,5,0,0
1710,Low,42.0,3.7,74.1,DARK,13.0,1016.0,76.0,10.0,nuvens quebrados,sem chuva,5,3,11,0,0
1711,High,41.4,54.2,88.3,DARK,12.0,1029.0,66.0,3.0,céu claro,sem chuva,18,0,2,0,1
1712,None_Existent,40.4,3.5,83.7,DARK,12.0,1022.0,100.0,0.0,sem observação,sem chuva,6,6,9,1,0
1713,None_Existent,46.5,2.8,86.5,DARK,13.0,1014.0,93.0,0.0,céu claro,sem chuva,5,6,8,1,0
1714,Medium,34.1,34.8,92.7,LOW_LIGHT,20.0,1022.0,69.0,4.0,céu claro,sem chuva,18,6,9,1,1
1715,Low,31.3,14.3,90.3,DARK,12.0,1026.0,93.0,0.0,céu pouco nublado,sem chuva,20,5,3,1,0
1716,Low,34.9,12.5,87.0,LIGHT,15.0,1015.0,100.0,1.0,nuvens dispersas,sem chuva,7,6,7,1,1
1717,Medium,40.0,34.1,87.9,LIGHT,20.0,1003.0,68.0,5.0,céu claro,sem chuva,16,2,10,0,0
1718,Medium,42.4,24.6,78.1,LIGHT,13.0,1011.0,76.0,8.0,algumas nuvens,sem chuva,12,3,11,0,0
1719,Low,43.4,9.1,91.1,DARK,15.0,1021.0,93.0,2.0,sem observação,sem chuva,0,2,8,0,0
1720,Low,41.1,13.4,86.9,DARK,19.0,1019.0,93.0,3.0,sem observação,sem chuva,0,2,9,0,0
1721,Medium,39.7,43.0,84.1,LIGHT,18.0,1018.0,77.0,3.0,sem observação,sem chuva,10,0,8,0,0
1722,Medium,35.6,26.2,73.6,LIGHT,11.0,1024.0,66.0,2.0,nuvens dispersas,sem chuva,11,1,12,0,0
1723,Medium,43.2,11.6,80.3,LIGHT,18.0,1017.0,88.0,2.0,nuvens dispersas,sem chuva,8,1,8,0,1
1724,Medium,40.9,29.7,90.4,DARK,18.0,1014.0,77.0,3.0,céu claro,sem chuva,20,4,10,0,0
1725,Medium,33.1,34.3,81.9,LIGHT,24.0,1016.0,49.0,4.0,céu limpo,sem chuva,14,5,4,1,0
1726,None_Existent,46.7,0.0,74.7,DARK,13.0,1018.0,93.0,0.0,nuvens quebrados,sem chuva,1,6,11,1,0
1727,Low,39.4,5.7,89.1,LIGHT,30.0,1016.0,58.0,2.0,céu claro,sem chuva,13,6,8,1,0
1728,Medium,40.3,40.4,90.4,LIGHT,24.0,1020.0,77.0,6.0,sem observação,sem chuva,13,4,8,0,0
1729,High,34.1,102.1,79.1,LIGHT,16.0,1013.0,63.0,4.0,céu pouco nublado,sem chuva,11,3,6,0,0
1730,Medium,42.9,76.2,90.0,LIGHT,20.0,1016.0,68.0,3.0,céu claro,sem chuva,14,4,10,0,0
1731,None_Existent,37.9,0.0,61.6,DARK,15.0,1013.0,100.0,1.0,céu pouco nublado,sem chuva,4,0,6,0,0
1732,Low,37.9,8.7,64.9,DARK,14.0,1015.0,82.0,3.0,nuvens dispersas,sem chuva,22,1,6,0,0
1733,Medium,33.5,22.5,92.5,LIGHT,12.0,1019.0,76.0,5.0,algumas nuvens,sem chuva,12,0,2,0,0
1734,Low,36.3,2.6,69.9,LIGHT,11.0,1009.0,66.0,5.0,sem observação,aguaceiros fracos,9,3,4,0,1
1735,None_Existent,45.3,1.0,81.6,DARK,11.0,1019.0,93.0,2.0,algumas nuvens,sem chuva,3,4,11,0,0
1736,High,37.6,63.8,90.4,LIGHT,19.0,1018.0,82.0,2.0,sem observação,sem chuva,15,5,9,1,0
1737,Low,36.9,9.0,89.1,LIGHT,23.0,1016.0,83.0,2.0,nuvens quebradas,sem chuva,12,6,7,1,0
1738,Very_High,45.4,142.0,73.8,LIGHT,15.0,1015.0,100.0,2.0,sem observação,sem chuva,8,2,5,0,1
1739,Low,37.6,33.3,83.6,LIGHT,16.0,1016.0,59.0,2.0,algumas nuvens,sem chuva,13,2,11,0,0
1740,None_Existent,48.8,0.0,79.1,DARK,16.0,1020.0,93.0,6.0,nublado,sem chuva,22,0,9,0,0
1741,Low,36.5,9.9,71.3,DARK,11.0,1020.0,100.0,1.0,sem observação,sem chuva,1,4,11,0,0
1742,None_Existent,39.2,1.1,72.1,DARK,12.0,1011.0,77.0,3.0,céu claro,sem chuva,4,5,11,1,0
1743,Medium,43.6,10.6,75.8,DARK,17.0,1016.0,93.0,1.0,nublado,sem chuva,21,3,9,0,0
1744,Medium,32.1,49.1,93.8,LIGHT,24.0,1018.0,78.0,6.0,sem observação,sem chuva,16,5,7,1,0
1745,Low,42.8,2.8,81.4,DARK,10.0,1000.0,71.0,3.0,sem observação,chuva fraca,20,1,4,0,0
1746,None_Existent,45.8,0.0,84.7,DARK,16.0,1021.0,100.0,2.0,algumas nuvens,sem chuva,1,3,9,0,0
1747,Medium,39.1,27.7,93.1,LIGHT,20.0,1017.0,88.0,3.0,nuvens dispersas,sem chuva,10,3,7,0,0
1748,Low,40.6,14.9,84.1,DARK,16.0,1019.0,88.0,4.0,céu claro,sem chuva,22,5,8,1,0
1749,High,43.2,54.6,81.1,LIGHT,18.0,1021.0,36.0,8.0,céu claro,sem chuva,9,1,10,0,1
1750,Medium,36.1,29.4,91.5,LIGHT,12.0,1023.0,87.0,5.0,tempo nublado,sem chuva,16,4,2,0,0
1751,High,39.4,59.7,69.8,LIGHT,21.0,1016.0,72.0,6.0,sem observação,sem chuva,15,1,5,0,0
1752,Medium,35.4,25.7,75.1,LIGHT,20.0,1018.0,77.0,2.0,sem observação,sem chuva,10,4,6,0,0
1753,None_Existent,45.1,6.2,84.4,DARK,17.0,1020.0,100.0,2.0,nuvens quebradas,sem chuva,2,5,8,1,0
1754,None_Existent,42.1,1.5,73.3,DARK,21.0,1019.0,88.0,1.0,sem observação,sem chuva,23,5,9,1,0
1755,High,43.3,167.5,85.0,LIGHT,21.0,1016.0,77.0,2.0,nuvens dispersas,sem chuva,18,0,9,0,1
1756,Medium,44.7,36.7,85.7,DARK,19.0,1017.0,68.0,1.0,céu claro,sem chuva,23,5,10,1,0
1757,None_Existent,38.7,6.1,84.7,DARK,21.0,1012.0,82.0,1.0,céu claro,sem chuva,20,6,9,1,0
1758,High,39.8,55.1,75.6,LIGHT,12.0,1000.0,87.0,3.0,sem observação,aguaceiros fracos,17,2,4,0,1
1759,Medium,35.7,31.9,99.9,LIGHT,13.0,1024.0,71.0,4.0,tempo nublado,sem chuva,12,4,2,0,0
1760,Medium,37.9,34.2,88.8,LIGHT,21.0,1014.0,64.0,3.0,algumas nuvens,sem chuva,16,3,9,0,0
1761,None_Existent,39.5,5.5,70.5,DARK,17.0,1016.0,88.0,1.0,nuvens quebradas,sem chuva,22,0,6,0,0
1762,High,39.0,83.7,73.3,LIGHT,17.0,1021.0,77.0,3.0,nuvens quebradas,sem chuva,10,3,5,0,0
1763,Low,36.3,4.3,62.1,LIGHT,13.0,1020.0,76.0,4.0,sem observação,sem chuva,6,5,5,1,0
1764,Medium,37.5,22.8,77.4,LIGHT,12.0,998.0,76.0,6.0,nuvens dispersas,sem chuva,10,2,4,0,0
1765,Medium,39.6,10.5,70.9,DARK,14.0,1012.0,100.0,4.0,sem observação,chuva moderada,2,6,6,1,0
1766,High,36.1,52.7,80.1,LIGHT,19.0,1018.0,68.0,7.0,sem observação,sem chuva,18,6,6,1,1
1767,Medium,38.8,21.4,82.3,LIGHT,10.0,1014.0,100.0,4.0,sem observação,chuva fraca,12,2,1,0,0
1768,Medium,36.1,87.7,91.3,LIGHT,19.0,1014.0,87.0,6.0,nuvens dispersas,sem chuva,19,2,5,0,1
1769,Low,36.2,2.5,65.7,DARK,13.0,1015.0,93.0,1.0,céu limpo,sem chuva,22,3,4,0,0
1770,Medium,38.7,21.1,80.2,DARK,10.0,1021.0,87.0,3.0,algumas nuvens,sem chuva,19,6,1,1,1
1771,Very_High,39.0,113.3,77.9,LIGHT,13.0,1022.0,82.0,3.0,sem observação,sem chuva,8,1,9,0,1
1772,Medium,36.3,35.4,74.9,LIGHT,30.0,1021.0,28.0,5.0,sem observação,sem chuva,16,3,5,0,0
1773,Medium,45.9,16.8,79.3,DARK,14.0,1008.0,93.0,10.0,sem observação,chuva fraca,19,5,11,1,1
1774,None_Existent,42.3,4.6,68.3,DARK,19.0,1023.0,72.0,3.0,sem observação,sem chuva,23,3,9,0,0
1775,None_Existent,42.4,0.0,88.7,DARK,18.0,1014.0,100.0,0.0,sem observação,sem chuva,3,2,8,0,0
1776,Medium,34.0,29.3,80.4,LIGHT,16.0,1028.0,67.0,3.0,sem observação,sem chuva,11,5,4,1,0
1777,Medium,34.3,30.9,82.1,LIGHT,14.0,1014.0,87.0,3.0,sem observação,chuva fraca,10,4,4,0,0
1778,None_Existent,39.8,0.0,77.5,DARK,19.0,1020.0,60.0,1.0,sem observação,sem chuva,0,4,5,0,0
1779,Low,41.8,6.7,70.9,DARK,20.0,1018.0,64.0,2.0,sem observação,sem chuva,21,1,9,0,0
1780,Very_High,45.1,54.6,85.3,LIGHT,25.0,1022.0,57.0,3.0,céu claro,sem chuva,9,0,9,0,1
1781,Medium,38.9,26.5,94.6,LIGHT,20.0,1017.0,56.0,2.0,céu claro,sem chuva,14,3,10,0,0
1782,None_Existent,44.2,0.0,85.8,DARK,11.0,1022.0,100.0,5.0,nuvens quebrados,sem chuva,4,5,2,1,0
1783,Low,36.3,17.3,96.3,DARK,17.0,1019.0,93.0,4.0,sem observação,sem chuva,22,5,7,1,0
1784,None_Existent,39.4,7.3,80.4,DARK,9.0,996.0,100.0,2.0,sem observação,chuva moderada,1,1,4,0,0
1785,Low,47.3,12.0,82.6,LIGHT,17.0,1018.0,93.0,1.0,nuvens quebradas,sem chuva,8,5,8,1,1
1786,High,36.6,24.5,73.8,LIGHT,21.0,1010.0,63.0,5.0,sem observação,sem chuva,19,4,5,0,1
1787,Low,36.5,7.0,91.5,DARK,9.0,1029.0,87.0,0.0,céu claro,sem chuva,20,0,2,0,0
1788,Low,39.7,7.8,88.7,LIGHT,21.0,1019.0,56.0,2.0,algumas nuvens,sem chuva,10,6,7,1,0
1789,None_Existent,40.9,0.0,87.0,DARK,19.0,1012.0,73.0,5.0,sem observação,trovoada com chuva,4,5,9,1,0
1790,None_Existent,37.3,0.0,74.5,DARK,11.0,1013.0,87.0,0.0,céu limpo,sem chuva,2,6,3,1,0
1791,None_Existent,41.3,2.4,82.6,DARK,10.0,1005.0,93.0,0.0,nuvens quebrados,sem chuva,22,1,10,0,0
1792,High,43.6,20.0,62.2,LIGHT,9.0,1025.0,81.0,2.0,nuvens quebradas,sem chuva,7,4,4,0,1
1793,None_Existent,45.5,1.9,84.0,DARK,14.0,1013.0,62.0,1.0,céu claro,sem chuva,23,0,10,0,0
1794,None_Existent,46.1,0.0,79.4,DARK,9.0,1013.0,66.0,1.0,algumas nuvens,sem chuva,22,6,10,1,0
1795,Medium,47.0,3.9,84.0,DARK,8.0,1027.0,100.0,1.0,sem observação,sem chuva,7,4,3,0,1
1796,None_Existent,43.9,0.0,89.3,DARK,16.0,1013.0,100.0,1.0,sem observação,sem chuva,5,1,10,0,0
1797,Low,36.8,3.9,61.5,DARK,17.0,1020.0,55.0,3.0,sem observação,sem chuva,1,2,5,0,0
1798,Medium,44.6,9.2,71.6,LIGHT,26.0,1018.0,26.0,4.0,sem observação,sem chuva,13,5,9,1,0
1799,Medium,34.3,33.0,78.6,LIGHT,23.0,1016.0,64.0,2.0,céu pouco nublado,sem chuva,14,1,6,0,0
1800,High,42.4,21.6,86.1,LIGHT,14.0,1020.0,100.0,1.0,sem observação,sem chuva,7,3,9,0,1
1801,Low,43.5,6.9,77.1,DARK,7.0,1025.0,93.0,1.0,céu claro,sem chuva,22,0,11,0,0
1802,None_Existent,42.1,0.0,74.8,LIGHT,13.0,1023.0,87.0,6.0,nuvens quebrados,sem chuva,8,6,12,1,1
